m,1000,2000,3000,4000,5000,
3,1602.00,3093.95,4585.89,6077.83,7569.77,
4,1586.72,3060.50,4534.28,6008.06,7481.84,
5,1578.70,3041.58,4504.46,5967.34,7430.23,
6,1574.31,3029.92,4485.54,5941.16,7396.78,
7,1571.99,3022.42,4472.85,5923.28,7373.71,
8,1570.98,3017.51,4464.05,5910.59,7357.12,
9,1570.83,3014.34,4457.85,5901.35,7344.86,
10,1571.28,3012.37,4453.46,5894.54,7335.63,
11,1572.17,3011.28,4450.39,5889.49,7328.60,
12,1573.40,3010.86,4448.31,5885.77,7323.22,
13,1574.88,3010.94,4447.00,5883.05,7319.11,
14,1576.56,3011.42,4446.28,5881.14,7316.00,
15,1578.39,3012.22,4446.04,5879.86,7313.69,
16,1580.36,3013.28,4446.19,5879.11,7312.02,
17,1582.44,3014.55,4446.66,5878.78,7310.89,
18,1584.60,3016.00,4447.40,5878.81,7310.21,
19,1586.84,3017.60,4448.37,5879.13,7309.90,
20,1589.14,3019.33,4449.52,5879.71,7309.90,
21,1591.50,3021.17,4450.84,5880.51,7310.19,
22,1593.90,3023.10,4452.30,5881.50,7310.70,
23,1596.35,3025.12,4453.89,5882.66,7311.42,
24,1598.83,3027.20,4455.58,5883.95,7312.33,
25,1601.34,3029.35,4457.36,5885.38,7313.39,
26,1603.88,3031.56,4459.23,5886.91,7314.59,
27,1606.45,3033.81,4461.18,5888.54,7315.91,
28,1609.04,3036.11,4463.19,5890.27,7317.34,
29,1611.64,3038.45,4465.26,5892.07,7318.88,
30,1614.27,3040.83,4467.38,5893.94,7320.50,
31,1616.91,3043.23,4469.56,5895.88,7322.21,
32,1619.57,3045.67,4471.77,5897.88,7323.98,
33,1622.24,3048.13,4474.03,5899.93,7325.83,
34,1624.92,3050.62,4476.32,5902.03,7327.73,
35,1627.61,3053.13,4478.65,5904.17,7329.69,
36,1630.31,3055.66,4481.01,5906.36,7331.70,
37,1633.03,3058.21,4483.39,5908.58,7333.76,
38,1635.75,3060.78,4485.80,5910.83,7335.86,
39,1638.48,3063.36,4488.24,5913.12,7338.00,
40,1641.21,3065.95,4490.70,5915.44,7340.18,
